resource name                                                      , web link                   , type (PDF / web / data / graphic), content type           , notes                                                                                                                                                                      , value (low / med / high)

grasshopper-manual                                                 , in project files on ChatGPT, PDF                              , reference documentation, gold standard for any information related to vanilla grasshopper and its functionality; components; etc                                                                    , high

grasshopper-algorithmic-modeling-for-product-platform-customization, in project files on ChatGPT, PDF                              , research journal       , product/industrial design applications for parametric apps (grasshopper)                                                                                                   , high

control-of-geo-using-grasshopper                                   , in project files on ChatGPT, PDF                              , research journal       , examining the creation of patterns and geometric form with parametric design tools; mostly 2D                                                                              , high

parametric-modeling-in-architectural-built-form                    , in project files on ChatGPT, PDF                              , research journal       , larger scale (architectural) design applications for parametric design processes (grasshopper)                                                                             , high

voronoi-diagrams-definitions-formal-properties                     , in project files on ChatGPT, PDF                              , experimental literature, employed LLM to write and conduct research on voronoi algorithms; this is low quality relative to other documents and resources listed above                               , low

parametric-modeling-in-architectural-design                        , in project files on ChatGPT, PDF                              , experimental literature, employed LLM to write and conduct research on parametric modeling in architectural design; this is low quality relative to other documents and resources listed above      , low

alexandria-labs-roadmap                                            , in project files on ChatGPT, PDF                              , experimental literature, self-authored document outlining the goals; materials; methods; and standards employed by my parametric lab (Alexandria); low quality relative other documents listed above, low

cell creator                                                       , tbd                        , Python                           , script code            , this is a simple cell generation tool which has a variety of 2d applications; code is well written and is a valuable reference                                             , med

cell patternizer                                                   , tbd                        , Python                           , script code            , this is a simple geometry/pattern generation tool with a variety of 2d applications; code is well written and is a valuable resource                                       , med
